Entry_name,GH,PH_H1,GC_PreH1,DMY_H1_kgperha,PH_H2,GC_PreH2,DMY_H2_kgperha,PH_H3,GC_PreH3,DMY_H3_kgperha
G217,3.45,65.52,7.52,2952.47,35.51,4.78,1269.17,39.56,3.4,1973.22
G218,3.98,66.42,6.57,2373.85,35.51,5.34,1317.18,49.97,5.21,2776.64
G219,6.43,61.41,7.93,2280.92,34.32,7.41,1696.82,50.58,6.5,1919.88
G220,5.53,58.59,7.6,2846.48,38.84,5.84,1337.29,43.54,5.62,1237.76
G221,4,64.67,6.89,2965.58,36.33,6.23,1564.28,44.72,4.93,1814.08
G222,3.86,71.48,6.43,3235.15,39.46,5.62,1120.34,46.32,4.43,979.29
G223,4.57,53.99,7.46,1840.6,38.87,7.18,1339.55,47.72,4.38,1521.6
G224,1.85,80.55,7,3377.66,37.72,5.15,1032.33,54.75,4.39,1683.22
G225,5.03,58.78,8.02,2009.33,36.08,5.85,1262.6,38.03,3.24,649.65
G226,6.47,51.64,7.98,2452.56,39.8,7.3,2170.43,54.29,6.5,3251.58
G227,5.93,45.05,7.48,1912.9,34.66,7.99,1810.87,42.38,5.32,2069.46
G228,4.44,64.11,7.03,2680.96,30.2,6.85,1453.19,48.97,6.17,2179.3
G229,2.99,51.6,5.95,1204.3,25.09,5.13,910.05,52.49,6.38,1552.18
G230,6.2,48.12,7.12,1427.47,31.36,6.58,1146.73,48.8,6.63,2588.38
G231,3.96,61.52,7.48,2765.26,39.48,5.53,1817.15,49.5,5.71,2341.25
G232,3.59,72.57,7.04,3188.22,35.65,6.45,1642.92,42.28,4.94,1698.92
G233,6.05,59.07,7.41,2188.15,37.72,6.38,1667.74,41.87,4.49,1100.22
G234,3.54,54.3,6.1,2541.34,42.54,5.73,1885.16,46.7,7.06,2263.25
G235,5.51,51.68,7.89,2035.78,38.42,6.33,1731.83,48.54,6.55,2415.12
G236,3.04,64.93,7.47,3229.71,29.69,4.77,1037.91,48.15,5.32,2201.96
G237,5.97,56.59,7.44,2273.18,30.38,7,1453.05,52.26,6.39,2729.22
G238,5.5,56.17,7.51,1999.56,45.61,6.98,1614.89,50.45,5.92,1851.74
G239,5.94,48.11,6.42,1710.63,35.27,6.67,1559.43,46.02,5.7,2570.22
G240,8.01,37.02,7.03,1275.94,30.48,6.73,1624.48,52.38,7.66,3443.47
G241,5.85,54.41,6.96,1643.61,31.07,7.03,1426.19,43.7,5.2,1324.88
G242,5.46,45.31,5.54,890.39,28.31,6.5,860.6,49.27,6.33,3218.31
G243,7.61,44.91,8.01,1599.97,32.89,8.26,1518.22,54.19,7.81,2640.35
G244,6.58,45.37,6.56,2037.04,39.78,5.76,1644.52,46.62,6.02,2237.53
G245,5.48,54.29,7.05,2438.71,41.31,6.59,1689.29,48.37,6.1,2892.8
